Model,Accuracy,Macro Precision,Macro Recall,Macro F1
DistilBERT,0.8971769848844011,0.8734068277690294,0.8566394100041108,0.8646581851178745
GRU,0.8837237939845458,0.8470253856360358,0.8516409527241496,0.8490669008265614
LSTM,0.8820921712895976,0.8455765672123114,0.8488036911364837,0.8469112229173656
SimpleRNN,0.7610750238586338,0.6026938860083132,0.6365983443065566,0.5918220578863428
